//,Comment,EnemyId,X,Y,wave,Incidence,,,
,Spin lazer,4,400,225,1,100,,,ID
,stalker,5,999,999,1,100,,Four-way,1
,Random,100,999,999,1,50,,Chaser,2
,Random,100,999,999,1,25,,Spinner,3
,Spin lazer,4,200,225,2,100,,spin lazer,4
,Spin lazer,4,600,225,2,100,,stalker,5
,Random,100,999,999,2,75,,,
,Random,100,999,999,2,50,,Random,100
,Random,100,999,999,2,25,,,
,Four-way,1,30,80,3,100,,,
,Four-way,1,30,570,3,100,,,
,Four-way,1,770,80,3,100,,,
,Four-way,1,770,570,3,100,,,
,Random,100,999,999,3,100,,,
,Random,100,999,999,3,50,,,
,Random,100,999,999,3,25,,,
,Random,100,999,999,4,100,,,
,Random,100,999,999,4,75,,,
,Random,100,999,999,4,50,,,
,Random,100,999,999,5,100,,,
,Random,100,999,999,5,75,,,
,Random,100,999,999,5,50,,,
,Spin lezer,4,999,999,5,100,,,
,,,,,,,,,
,stalker,5,999,999,6,100,,,
,Random,100,999,999,6,75,,,
,,,,,,,,,
,Random,100,999,999,6,25,,,
,Spin lezer,4,999,999,6,100,,,
,,,,,,,,,
,Random,100,999,999,7,50,,,
,Random,100,999,999,7,75,,,
,Random,100,999,999,7,50,,,
,Random,100,999,999,7,25,,,
,Spin lezer,4,999,999,7,100,,,
,,,,,,,,,
,,,,,,,,,
,Random,100,999,999,8,75,,,
,,,,,,,,,
,Random,100,999,999,8,25,,,
,Spin lezer,4,999,999,8,100,,,
,Spin lezer,4,999,999,9,100,,,
,,,,,,,,,
,Random,100,999,999,9,100,,,
,,,,,,,,,
,Random,100,999,999,9,50,,,
,,,,,,,,,
,Random,100,999,999,9,100,,,
,Spin lezer,4,999,999,10,100,,,
,stalker,5,999,999,10,100,,,
,stalker,5,999,999,10,100,,,
,,,,,,,,,
,Random,100,999,999,10,100,,,
,,,,,,,,,
,Spin lezer,4,999,999,10,100,,,
